platform_id,language_id,country_id,layout_id,klo,klid,apple_id,cldr,status_id
1,pa,"Country(alpha_2='IN', alpha_3='IND', flag='🇮🇳', name='India', numeric='356', official_name='Republic of India')",ੳਅੇਰਤਯ,m-pa-IN,,com.apple.keylayout.Gurmukhi-QWERTY,,active
1,de,"Country(alpha_2='AT', alpha_3='AUT', flag='🇦🇹', name='Austria', numeric='040', official_name='Republic of Austria')",qwertz,m-de-AT,,com.apple.keylayout.Austrian,,active
1,en,"Country(alpha_2='US', alpha_3='USA', flag='🇺🇸', name='United States', numeric='840', official_name='United States of America')",qwerty,m-en-US,,com.apple.keylayout.US,,active
1,pa,"Country(alpha_2='IN', alpha_3='IND', flag='🇮🇳', name='India', numeric='356', official_name='Republic of India')",ੌੈਾੀੂਬ,m-pa-IN-1,,com.apple.keylayout.Gurmukhi,,active
1,mk,"Country(alpha_2='MK', alpha_3='MKD', flag='🇲🇰', name='North Macedonia', numeric='807', official_name='Republic of North Macedonia')",љњертѕ,m-mk-MK,,com.apple.keylayout.Macedonian,,active
1,lv,"Country(alpha_2='LV', alpha_3='LVA', flag='🇱🇻', name='Latvia', numeric='428', official_name='Republic of Latvia')",qwerty,m-lv-LV,,com.apple.keylayout.Latvian,,active
1,en,"Country(alpha_2='US', alpha_3='USA', flag='🇺🇸', name='United States', numeric='840', official_name='United States of America')",qwerty,m-en-US-1,,com.apple.keylayout.USExtended,,active
1,th,"Country(alpha_2='TH', alpha_3='THA', flag='🇹🇭', name='Thailand', numeric='764', official_name='Kingdom of Thailand')",็ตยอร่,m-th-TH-1,,com.apple.keylayout.Thai-PattaChote,,active
1,sl,"Country(alpha_2='SI', alpha_3='SVN', flag='🇸🇮', name='Slovenia', numeric='705', official_name='Republic of Slovenia')",qwerty,m-sl-SI,,com.apple.keylayout.Slovenian,,active
1,hi,"Country(alpha_2='IN', alpha_3='IND', flag='🇮🇳', name='India', numeric='356', official_name='Republic of India')",ॅअेरतय,m-hi-IN,,com.apple.keylayout.Devanagari-QWERTY,,active
1,no,"Country(alpha_2='NO', alpha_3='NOR', flag='🇳🇴', name='Norway', numeric='578', official_name='Kingdom of Norway')",qwerty,m-no-NO-1,,com.apple.keylayout.Norwegian,,active
1,ga,"Country(alpha_2='IE', alpha_3='IRL', flag='🇮🇪', name='Ireland', numeric='372')",qwerty,m-ga-IE,,com.apple.keylayout.IrishExtended,,active
1,sv,"Country(alpha_2='SE', alpha_3='SWE', flag='🇸🇪', name='Sweden', numeric='752', official_name='Kingdom of Sweden')",qwerty,m-sv-SE-1,,com.apple.keylayout.Swedish-Pro,,active
1,iu,"Country(alpha_2='CA', alpha_3='CAN', flag='🇨🇦', name='Canada', numeric='124')",qwerty,m-iu-CA-3,,com.apple.keylayout.Inuktitut-Nutaaq,,active
